City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nizhnesortymskiy,62.4397,71.7603,5.79,94,74,6.54,RU,1696205418
84,atafu village,-8.5421,-172.5159,28.6,70,66,2.07,TK,1696205418
85,bamboo flat,11.7,92.7167,26.05,94,75,5.14,IN,1696205418
86,saint-pierre,-21.3393,55.4781,21.82,64,0,3.09,RE,1696205419
87,presque isle,46.6811,-68.0159,14.99,64,0,3.09,US,1696205419
88,lindi,-10.0,39.7167,21.5,95,15,1.02,TZ,1696205419
89,flying fish cove,-10.4217,105.6791,23.82,83,100,5.14,CX,1696205161
90,rabaul,-4.1967,152.1721,28.3,73,38,1.1,PG,1696205419
91,tongchuanshi,35.0806,109.0897,12.19,86,100,1.15,CN,1696205419
92,bredasdorp,-34.5322,20.0403,10.12,89,2,1.36,ZA,1696205419
93,daru,-9.0763,143.2092,26.59,83,100,6.87,PG,1696205419
94,acarau,-2.8856,-40.12,25.58,79,18,7.33,BR,1696205420
95,fort bragg,35.139,-79.006,22.17,81,0,0.0,US,1696205420
96,nikolayevsk-on-amure,53.1406,140.73,9.82,97,100,3.68,RU,1696205283
97,ojinaga,29.5667,-104.4167,34.53,33,0,3.09,MX,1696205420
98,dingli,35.8614,14.3822,19.9,83,0,1.54,MT,1696205420
99,lorengau,-2.0226,147.2712,29.42,67,34,1.21,PG,1696205420
100,mount isa,-20.7333,139.5,29.87,23,0,4.12,AU,1696205420
101,puerto baquerizo moreno,-0.9,-89.6,22.76,87,98,4.56,EC,1696205420
102,college,64.8569,-147.8028,9.18,54,100,2.06,US,1696205421
103,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,100,100,2.0,RU,1696205421
104,laguna,38.421,-121.4238,26.27,46,0,4.63,US,1696205421
105,nar'yan-mar,67.6713,53.087,10.62,96,100,3.58,RU,1696205421
106,sakaiminato,35.55,133.2333,18.99,82,75,2.57,JP,1696205167
